state_u,district_u,log_ncrb_rape,log_ncrb_kidnap,log_ncrb_dowry,log_ncrb_assault,log_ncrb_insult,log_ncrb_cruelty,log_ncrb_total,frac_rape,frac_kidnap,frac_dowry,frac_assault,frac_cruelty
ANDHRA PRADESH,ANANTAPUR,3.58351893845611,4.672828834461906,3.258096538021482,6.07993319509559,3.295836866004329,5.111987788356544,7.001245622069476,0.03190519598906107,0.09662716499544212,0.022789425706472195,0.3974475843208751,0.1504102096627165
ANDHRA PRADESH,CHITTOOR,3.4965075614664802,3.5553480614894135,2.8903717578961645,4.912654885736052,4.553876891600541,5.631211781821365,6.410174881966167,0.05271828665568369,0.05601317957166392,0.02800658978583196,0.22240527182866557,0.45799011532125206
ANDHRA PRADESH,CUDDAPAH,3.367295829986474,2.833213344056216,2.833213344056216,5.375278407684165,2.5649493574615367,4.5217885770490405,6.413458957167357,0.04597701149425287,0.026272577996715927,0.026272577996715927,0.3530377668308703,0.14942528735632185
ANDHRA PRADESH,EAST GODAVARI,4.454347296253507,3.258096538021482,2.0794415416798357,6.253828811575473,4.143134726391533,6.142037405587356,7.15305163493748,0.06656225528582616,0.01957713390759593,0.00548159749412686,0.40642129992169146,0.3633516053249804
ANDHRA PRADESH,GUNTAKAL RAILWAY,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,GUNTUR,3.912023005428146,3.8501476017100584,2.833213344056216,5.5053315359323625,5.8522024797744745,6.12029741895095,7.170888478512505,0.03769230769230769,0.03538461538461538,0.012307692307692308,0.18846153846153846,0.34923076923076923
ANDHRA PRADESH,GUNTUR URBAN,3.713572066704308,4.04305126783455,2.5649493574615367,5.081404364984463,6.115892125483034,5.846438775057725,7.026426808699636,0.035555555555555556,0.049777777777777775,0.010666666666666666,0.14222222222222222,0.30666666666666664
ANDHRA PRADESH,KRISHNA,4.394449154672439,3.5553480614894135,2.1972245773362196,5.872117789475416,5.4510384535657,6.419994928147142,7.252762418053187,0.05669737774627923,0.024096385542168676,0.005669737774627924,0.2508858965272856,0.4344436569808646
ANDHRA PRADESH,KURNOOL,3.4965075614664802,3.6375861597263857,2.5649493574615367,6.0014148779611505,5.529429087511423,5.8944028342648505,7.101675971619444,0.026380873866446827,0.030502885408079144,0.00989282769991756,0.3322341302555647,0.29843363561417974
ANDHRA PRADESH,NELLORE,4.07753744390572,4.8283137373023015,2.70805020110221,5.69035945432406,5.327876168789581,5.8944028342648505,7.078341579557671,0.048945147679324896,0.10464135021097046,0.01181434599156118,0.2489451476793249,0.30548523206751055
ANDHRA PRADESH,PRAKASHAM,3.9318256327243257,3.9318256327243257,2.1972245773362196,5.288267030694535,2.833213344056216,5.998936561946683,6.683360945766275,0.06265664160401002,0.06265664160401002,0.010025062656641603,0.24686716791979949,0.5037593984962406
ANDHRA PRADESH,RAJAHMUNDRY,3.58351893845611,2.1972245773362196,1.3862943611198906,4.804021044733257,3.332204510175204,5.25227342804663,6.2324480165505225,0.0688976377952756,0.015748031496062992,0.005905511811023622,0.23818897637795275,0.37401574803149606
ANDHRA PRADESH,SRIKAKULAM,3.713572066704308,2.3978952727983707,1.3862943611198906,5.3706380281276624,4.5217885770490405,5.700443573390687,6.608000625296087,0.05405405405405406,0.013513513513513514,0.004054054054054054,0.2891891891891892,0.4027027027027027
ANDHRA PRADESH,TIRUPATHI URBAN,2.9444389791664403,2.8903717578961645,2.6390573296152584,4.110873864173311,3.091042453358316,5.123963979403259,5.777652323222656,0.055900621118012424,0.052795031055900624,0.040372670807453416,0.18633540372670807,0.5186335403726708
